Zipcode,Abandoned#,Longitude,Latitude,AvgSalary,house_zipcode
7108,64,-74.1928366,40.72245917,39145,7108
7108,64,-74.19479654,40.72344548,39145,7108
7108,64,-74.20053498,40.72497682,39145,7108
7108,64,-74.20939041,40.72694558,39145,7108
7108,64,-74.21220737,40.72723864,39145,7108
7108,64,-74.20962129,40.72634176,39145,7108
7108,64,-74.21136982,40.72942767,39145,7103
7108,64,-74.21131935,40.72955944,39145,7103
7108,64,-74.21021246,40.72891627,39145,7103
7108,64,-74.21018724,40.72898216,39145,7103
7108,64,-74.20973832,40.72778054,39145,7111
7108,64,-74.2094373,40.7284643,39145,7103
7108,64,-74.2077056,40.72781162,39145,7108
7108,64,-74.20701152,40.72719918,39145,7108
7108,64,-74.20582232,40.7272537,39145,7108
7108,64,-74.20581349,40.7273376,39145,7108
7108,64,-74.20484759,40.726834,39145,7108
7108,64,-74.20344763,40.72678704,39145,7108
7108,64,-74.20283828,40.72631453,39145,7108
7108,64,-74.2037599,40.72685415,39145,7108
7108,64,-74.2038641,40.72687667,39145,7108
7108,64,-74.20230978,40.72609904,39145,7108
7108,64,-74.20214006,40.72652042,39145,7108
7108,64,-74.2037382,40.72736613,39145,7108
7108,64,-74.20506733,40.72758158,39145,7108
7108,64,-74.20980463,40.7299821,39145,7103
7108,64,-74.20897976,40.72969558,39145,7103
7108,64,-74.1978507,40.72605508,39145,7108
7108,64,-74.19803193,40.72562192,39145,7108
7108,64,-74.21196052,40.72825587,39145,7103
7108,64,-74.2120433,40.72923244,39145,7103
7108,64,-74.21286335,40.72844883,39145,7103
7108,64,-74.21352538,40.72891191,39145,7103
7108,64,-74.21027471,40.72627658,39145,7108
7108,64,-74.21055469,40.726553,39145,7108
7108,64,-74.2103521,40.72700747,39145,7108
7108,64,-74.21050247,40.72661285,39145,7108
7108,64,-74.21040159,40.72687545,39145,7108
7108,64,-74.21042768,40.72680992,39145,7108
7108,64,-74.210452,40.72674407,39145,7108
7108,64,-74.21127855,40.72613516,39145,7108
7108,64,-74.20143225,40.72282142,39145,7108
7108,64,-74.21217914,40.72731264,39145,7108
7108,64,-74.21226388,40.7270908,39145,7108
7108,64,-74.20940968,40.7259141,39145,7108
7108,64,-74.212673,40.72789814,39145,7103
7108,64,-74.21286756,40.72793927,39145,7103
7108,64,-74.21325593,40.72705496,39145,7108
7108,64,-74.21353744,40.72788516,39145,7108
7108,64,-74.21413011,40.72731799,39145,7108
7108,64,-74.21378792,40.72723099,39145,7108
