,Establishment,Latitude,Longitude,Evaluation,property_zipcode
216,Extra Liquor and Wine,40.74858206,-74.18071248,Satisfactory,07103
217,House of Mercy Mission,40.73080649,-74.20692834,Satisfactory,07103
218,Marrecife Marisqueria,40.72660806,-74.16069455,Satisfactory,07105
219,El Paisa Happy Chicken ,40.75738471,-74.17402453,Conditionally Satisfactory,07104
220,El Paisa Happy Chicken ,40.75738471,-74.17402453,Conditionally Satisfactory,07104
221,El Paisa Happy Chicken ,40.75738471,-74.17402453,Conditionally Satisfactory,07104
222,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
223,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
224,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
225,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
226,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
227,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
228,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
229,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
230,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
231,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
232,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
233,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
234,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
235,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
236,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
237,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
238,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
239,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
240,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
241,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
242,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
243,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
244,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
245,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
246,Dunkin Donuts ,40.71510124,-74.19165801,Conditionally Satisfactory,07108
247,Nativo Deli & Grocery ,40.75318235,-74.17093284,Conditionally Satisfactory,07104
249,Bellos Pub and Grill ,40.73340258,-74.16351253,Conditionally Satisfactory,07105
250,Rising Sun Daycare Academy ,40.73483941,-74.18064996,Conditionally Satisfactory,07102
251,Rio Lounge,40.73075246,-74.15110757,Satisfactory,07105
252,CDI Head Start -Broadway Mini Mall,40.77440161,-74.15918686,Conditionally Satisfactory,07104
253,Estrella da Ponderosa,40.72578678,-74.15042561,Conditionally Satisfactory,07105
254,CDI Head Start - Sharpe James ,40.75417401,-74.1696577,Conditionally Satisfactory,07104
255,CDI Head Start - Sharpe James ,40.75417401,-74.1696577,Conditionally Satisfactory,07104
256,Logos Spot ,40.72975893,-74.17174056,Conditionally Satisfactory,07102
257,East Side High School,40.72396488,-74.15890701,Satisfactory,07105
258,Ann St School ,40.72311343,-74.15633072,Satisfactory,07105
